filename, meanMT, stdMT, meanDistance, stdDistance, errorRate,outlierRate, IDe, meanWidth, meanDist, ID, width, distance,TP 
FLT/P32/trackpad/P32T8/P32T8trackpadA,0.6900,1.5563,384.3849,6.3673,0.0000,0.0000,3.9559,26.4760,384.3849,3.0032,57.0000,400.0000,5.7332
FLT/P32/trackpad/P32T1/P32T1trackpadC,0.8041,1.5519,596.8090,4.3790,0.1818,0.0000,6.2431,7.9847,596.8090,5.5593,13.0000,600.0000,7.7639
FLT/P32/trackpad/P32T1/P32T1trackpadA,0.6135,1.4072,385.4649,11.7276,0.0000,0.0000,4.0341,25.0579,385.4649,3.0032,57.0000,400.0000,6.5751
FLT/P32/trackpad/P32T1/P32T1trackpadB,1.1643,2.2920,395.2582,4.8913,0.0000,0.0000,5.6408,8.0838,395.2582,3.9832,27.0000,400.0000,4.8449
FLT/P32/trackpad/P32T6/P32T6trackpadC,0.9601,1.8597,394.9221,2.6350,0.0000,0.0000,6.3571,4.8773,394.9221,4.9896,13.0000,400.0000,6.6213
FLT/P32/trackpad/P32T6/P32T6trackpadA,0.6515,1.4172,387.7640,5.7809,0.0000,0.0000,4.1212,23.6405,387.7640,3.0032,57.0000,400.0000,6.3253
FLT/P32/trackpad/P32T6/P32T6trackpadB,1.1758,2.6848,394.2007,5.0143,0.0909,0.0000,5.8834,6.7928,394.2007,3.9832,27.0000,400.0000,5.0038
FLT/P17/fingers/P17F3/P17F3fingersB,0.8491,2.8700,393.3503,6.1410,0.1818,0.0000,5.5587,8.5264,393.3503,3.9832,27.0000,400.0000,6.5465
FLT/P17/fingers/P17F3/P17F3fingersA,0.8285,3.2287,389.2627,10.3745,0.0000,0.0000,3.9110,27.7205,389.2627,3.0032,57.0000,400.0000,4.7208
FLT/P17/fingers/P17F3/P17F3fingersC,1.3186,3.6524,394.8994,3.4416,0.2727,0.0000,6.1321,5.7120,394.8994,4.9896,13.0000,400.0000,4.6503
FLT/P17/fingers/P17F4/P17F4fingersC,0.5523,3.5223,591.7209,6.6950,0.2727,0.0000,7.0064,4.6385,591.7209,5.5593,13.0000,600.0000,12.6870
FLT/P17/fingers/P17F4/P17F4fingersA,0.8574,3.3322,390.8925,8.8650,0.0000,0.0000,4.3226,20.5638,390.8925,3.0032,57.0000,400.0000,5.0417
FLT/P17/fingers/P17F4/P17F4fingersB,0.3815,2.2505,394.5420,6.1291,0.0909,0.0000,5.2995,10.2789,394.5420,3.9832,27.0000,400.0000,13.8913
FLT/P17/fingers/P17F2/P17F2fingersB,0.8656,2.5478,397.4755,4.5668,0.0000,0.0000,5.2335,10.8533,397.4755,3.9832,27.0000,400.0000,6.0459
FLT/P17/fingers/P17F2/P17F2fingersA,0.7841,2.9003,393.7475,8.1728,0.0000,0.0000,4.6876,15.8959,393.7475,3.0032,57.0000,400.0000,5.9784
FLT/P17/fingers/P17F2/P17F2fingersC,2.2939,3.3259,393.2462,8.0013,0.2727,0.0000,6.3289,4.9536,393.2462,4.9896,13.0000,400.0000,2.7590
FLT/P17/fingers/P17F8/P17F8fingersA,0.6580,2.2095,397.2111,7.7478,0.0000,0.0000,4.8089,14.6956,397.2111,3.0032,57.0000,400.0000,7.3083
FLT/P17/fingers/P17F8/P17F8fingersC,1.7010,3.3562,394.9815,3.7417,0.2727,0.0000,6.1257,5.7389,394.9815,4.9896,13.0000,400.0000,3.6012
FLT/P17/fingers/P17F8/P17F8fingersB,1.2662,3.1029,394.4124,5.0927,0.0909,0.0000,5.0000,12.7228,394.4124,3.9832,27.0000,400.0000,3.9488
FLT/P17/fingers/P17F7/P17F7fingersC,1.6891,3.9473,593.2055,2.7022,0.2727,0.0000,6.8846,5.0633,593.2055,5.5593,13.0000,600.0000,4.0758
FLT/P17/fingers/P17F7/P17F7fingersA,0.7368,2.5158,395.4391,9.2019,0.0000,0.0000,4.5541,17.5816,395.4391,3.0032,57.0000,400.0000,6.1807
FLT/P17/fingers/P17F7/P17F7fingersB,0.8867,2.6060,393.5667,6.8144,0.0000,0.0000,4.8958,13.6792,393.5667,3.9832,27.0000,400.0000,5.5212
FLT/P17/fingers/P17F5/P17F5fingersB,0.4052,2.9736,396.6109,5.5130,0.0909,0.0000,5.0071,12.7291,396.6109,3.9832,27.0000,400.0000,12.3571
FLT/P17/fingers/P17F5/P17F5fingersA,0.7968,2.3071,397.1977,4.9617,0.0000,0.0000,4.1324,24.0168,397.1977,3.0032,57.0000,400.0000,5.1862
FLT/P17/fingers/P17F5/P17F5fingersC,1.9522,3.8516,393.7403,3.0661,0.1818,0.0000,5.6962,7.7434,393.7403,4.9896,13.0000,400.0000,2.9178
