Filename, TP, IP, Lin1, Lin2, ErrorRate, outlierRate, meanMovetime, meanIDe
Steven-data/Fingers/StevenX350Y300jl,3.9397,2.7454,-0.5653,0.3642,0.1333,0.0133,1.3879,5.3370 
Steven-data/Fingers/StevenX300Y200jl,4.3177,3.4532,-0.1948,0.2896,0.1200,0.0533,0.9604,3.9881 
Steven-data/Trackpad,4.6122,4.5176,-0.0154,0.2214,0.0667,0.0133,0.8153,3.7571 
Steven-data/KvI/Stevent7k3,5.4430,3.4757,-0.4102,0.2877,0.1200,0.0000,0.8661,4.4355 
Steven-data/KvI/Stevent3k7,4.0027,4.4585,0.1826,0.2243,0.0933,0.0267,1.4207,5.5960 
Steven-data/KvI/Stevent5k5,4.4372,5.5315,0.1740,0.1808,0.0800,0.0000,0.7921,3.4580 
Steven-data/KvI/Stevent3k71,4.3855,4.3512,-0.0017,0.2298,0.1333,0.0000,1.3098,5.7159 
Steven-data/KvI/Stevent0k10,4.6845,3.2971,-0.2852,0.3033,0.0667,0.0133,0.6971,3.2407 
Steven-data/Fatigue/StevenFatigue1,6.1910,4.3732,-0.2868,0.2287,0.0933,0.0000,0.9020,5.1432 
Steven-data/Fatigue/StevenFatigue9,7.5234,5.5882,-0.2078,0.1789,0.1200,0.0400,0.6345,4.7058 
Steven-data/Fatigue/StevenFatigue4,5.6662,5.3392,-0.0335,0.1873,0.0133,0.0133,0.5969,3.3595 
Steven-data/Fatigue/StevenFatigue2,6.0947,5.3689,-0.0993,0.1863,0.0933,0.0267,0.8404,5.0465 
Steven-data/Fatigue/StevenFatigue6,6.0193,6.5768,0.0507,0.1521,0.0667,0.0133,0.5959,3.5891 
Steven-data/Fatigue/StevenFatigue81,5.7011,4.5916,-0.1646,0.2178,0.1067,0.0133,0.7691,4.2834 
Steven-data/Fatigue/StevenFatigue10,6.3537,7.1813,0.0965,0.1393,0.1467,0.0000,0.8638,5.5078 
Steven-data/Fatigue/StevenFatigue3,5.6509,11.2655,0.3225,0.0888,0.0933,0.0133,0.6745,3.9439 
Steven-data/Fatigue/StevenFatigue7,6.4136,5.7358,-0.0752,0.1743,0.0667,0.0000,0.7031,4.4637 
Steven-data/Fatigue/StevenFatigue5,5.4155,11.5807,0.3570,0.0864,0.0000,0.0000,0.6764,3.6993 
Steven-data/Steven-Fatigue/scf5,6.6788,5.6649,-0.1170,0.1765,0.1067,0.0267,0.8014,5.1978 
Steven-data/Steven-Fatigue/SCF1,6.7794,6.5057,-0.0229,0.1537,0.0533,0.0133,0.5706,3.8527 
Steven-data/Steven-Fatigue/scf10,6.4237,6.3940,0.0068,0.1564,0.0400,0.0267,0.7950,5.0395 
Steven-data/Steven-Fatigue/scf2,6.3209,6.0236,-0.0273,0.1660,0.0533,0.0400,0.6753,4.2216 
Steven-data/Steven-Fatigue/scf3,5.8150,6.6496,0.0842,0.1504,0.0667,0.0000,0.7314,4.3039 
Steven-data/Steven-Fatigue/SCFatigue05,6.5792,6.6152,0.0041,0.1512,0.0533,0.0133,0.7298,4.7972 
Steven-data/Steven-Fatigue/scf7,6.3751,8.4743,0.1241,0.1180,0.0667,0.0133,0.5068,3.2462 
/11p11,5.7769,5.2548,-0.0598,0.1903,0.0533,0.0133,0.9939,5.5337 
/P33M1,6.8820,-2.2420,3.1447,-0.4460,0.0933,0.0133,0.7896,5.2864 
/P33T2,5.1844,2.7650,-0.8642,0.3617,0.0933,0.0267,1.0876,5.4076 
/P32FR1,3.7585,4.8102,0.2784,0.2079,0.0267,0.0133,1.2486,4.6799 
/11p14,4.0989,0.6402,-6.7967,1.5621,0.1867,0.0267,1.7388,5.4101 
/P34T2,5.4677,2.2971,-1.2838,0.4353,0.0800,0.0133,1.1361,5.5504 
/julian2,3.6269,9.5381,0.8564,0.1048,0.1067,0.0267,1.3841,5.0247 
/divya744,3.0857,2.4389,-0.4065,0.4100,0.2400,0.0133,2.0081,5.5955 
/divya713,3.5852,9.4499,0.7729,0.1058,0.0533,0.0000,1.2413,4.4567 
/Test,2.6614,6.2769,1.0736,0.1593,0.2000,0.0400,1.8551,4.8848 
/11p24,3.0319,1.1689,-2.5326,0.8555,0.0800,0.0533,1.8193,5.0905 
/11p33,4.4565,3.7929,-0.2043,0.2637,0.0133,0.0133,1.2147,5.3809 
Zhen-data/Mouse,7.6064,5.4710,-0.2053,0.1828,0.0400,0.0000,0.5988,4.4074 
Zhen-data/TvK/ZhenX200Y250T10K0,3.7290,2.9457,-0.2807,0.3395,0.0933,0.0133,1.2020,4.3634 
Zhen-data/TvK/ZhenX200Y250T5K5,3.5615,2.2145,-0.6894,0.4516,0.0533,0.0133,1.3443,4.4963 
Zhen-data/TvK/ZhenX200Y250T7K3,3.6708,3.2231,-0.1579,0.3103,0.0667,0.0267,1.2729,4.6127 
Zhen-data/TvK/ZhenX200Y200T3K7,3.5340,2.8309,-0.2747,0.3532,0.0667,0.0000,1.2573,4.3341 
Zhen-data/TvK/ZhenX200Y250T3K7,3.6344,2.3432,-0.5972,0.4268,0.2133,0.0000,1.3015,4.4428 
Zhen-data/TvK/ZhenX200Y250T0K10,3.5933,2.1763,-0.7255,0.4595,0.2133,0.0533,1.3816,4.5788 
Zhen-data/TvK/ZhenX200Y200T5K5,3.7277,1.9043,-1.0668,0.5251,0.0800,0.0133,1.3150,4.5353 
Zhen-data/TvK/ZhenX200Y200T7K3,3.3746,2.3943,-0.4338,0.4177,0.1067,0.0133,1.2818,4.1097 
Zhen-data/TvK/ZhenX200Y200T10K0,3.4009,2.3034,-0.5165,0.4341,0.1867,0.0533,1.2967,4.1661 
Zhen-data/TvK/ZhenX200Y200T0K10,3.3006,2.1469,-0.6153,0.4658,0.1467,0.0133,1.3828,4.2874 
Zhen-data/Fingers/ZhenX200Y250,3.2005,2.3417,-0.4411,0.4270,0.0533,0.0400,1.3821,4.2665 
Zhen-data/Fingers/ZhenX250Y200,3.4406,2.5555,-0.3879,0.3913,0.0933,0.0133,1.3207,4.3723 
Zhen-data/Fingers/X250Y250,2.9908,2.6669,-0.1695,0.3750,0.1467,0.0267,1.4976,4.4277 
Zhen-data/Fingers/ZhenX250Y150JL,4.5841,3.1173,-0.4179,0.3208,0.0800,0.0133,1.0187,4.4800 
Zhen-data/Fingers/X350Y150,2.3827,2.2035,-0.1124,0.4538,0.1467,0.0400,1.7721,4.1662 
Zhen-data/Fingers/X250Y150,2.8546,1.5011,-1.1248,0.6662,0.3333,0.0000,1.6789,4.2111 
Zhen-data/Fingers/ZhenX250Y150,3.9419,2.7006,-0.4642,0.3703,0.1733,0.0400,1.1867,4.4546 
Zhen-data/Fingers/X350Y250,3.0253,1.8829,-0.8019,0.5311,0.0533,0.0267,1.5190,4.3639 
Zhen-data/Fingers/X250Y300,2.8449,2.3165,-0.3227,0.4317,0.0933,0.0000,1.5657,4.3683 
Zhen-data/Fingers/ZhenX250Y250,3.4612,3.3257,-0.0454,0.3007,0.0667,0.0133,1.2824,4.4237 
Zhen-data/Fingers/X250Y350,3.0122,2.3286,-0.4038,0.4294,0.1067,0.0533,1.5292,4.4973 
Zhen-data/Fingers/ZhenX200Y150,3.3846,3.0997,-0.0927,0.3226,0.2133,0.0267,1.3639,4.5224 
Zhen-data/Fingers/X350Y350,2.9644,2.1569,-0.4940,0.4636,0.0800,0.0133,1.4829,4.2505 
Zhen-data/Fingers/ZhenX250Y200JL,4.1340,3.6132,-0.1425,0.2768,0.1200,0.0400,1.0711,4.3716 
Zhen-data/Fingers/ZhenX250Y250JL,3.9902,3.0726,-0.2863,0.3255,0.1733,0.0400,1.1211,4.3263 
Zhen-data/Fingers/ZhenX200Y200,3.8310,2.1636,-0.8171,0.4622,0.2000,0.0133,1.2602,4.4895 
Zhen-data/Fingers/X250Y200,2.8743,1.7605,-0.8793,0.5680,0.2000,0.0267,1.6103,4.3664 
Zhen-data/Trackpad,4.4234,5.1240,0.1310,0.1952,0.0533,0.0000,0.9936,4.4257 
Zhen-data/SeperateWiimote/ZhenRelNo5T1,4.7754,3.0244,-0.4815,0.3306,0.0400,0.0000,0.9605,4.3594 
Zhen-data/SeperateWiimote/ZhenRelNo4T3,1.8903,2.4441,0.4741,0.4092,0.0533,0.0267,2.2347,4.3000 
Zhen-data/SeperateWiimote/ZhenRelNo1T3,1.2286,1.4420,0.4809,0.6935,0.1067,0.0533,3.5033,4.3579 
Zhen-data/SeperateWiimote/ZhenRelNo1T2,4.0975,2.1186,-0.8230,0.4720,0.0800,0.0133,1.1648,4.2128 
Zhen-data/SeperateWiimote/ZhenRelNo2T3,1.8430,1.7676,-0.0935,0.5657,0.0667,0.0267,2.4209,4.4445 
Zhen-data/SeperateWiimote/ZhenRelNo1T1,3.8001,2.8315,-0.3299,0.3532,0.0800,0.0267,1.1605,4.2204 
Zhen-data/SeperateWiimote/ZhenRelNo3T1,5.2718,4.0738,-0.2161,0.2455,0.0533,0.0000,0.8555,4.3642 
Zhen-data/SeperateWiimote/ZhenAbsNo1T1,4.0870,2.8881,-0.3919,0.3462,0.1333,0.0267,1.1161,4.3588 
Zhen-data/SeperateWiimote/ZhenRelNo3T3,1.6908,1.7112,0.0248,0.5844,0.0933,0.0267,2.4866,4.2100 
Zhen-data/SeperateWiimote/ZhenMouseT1,7.6254,5.0760,-0.2376,0.1970,0.0400,0.0000,0.5858,4.1798 
Zhen-data/SeperateWiimote/ZhenRelNo2T2,4.8420,3.8298,-0.2146,0.2611,0.0400,0.0133,0.9423,4.4217 
Zhen-data/SeperateWiimote/ZhenAbsNo1T2,3.9968,3.0510,-0.2988,0.3278,0.1200,0.0267,1.1308,4.3619 
Zhen-data/SeperateWiimote/ZhenRelNo5T2,4.5156,3.1565,-0.3724,0.3168,0.0400,0.0000,1.0342,4.4402 
Zhen-data/SeperateWiimote/ZhenRelNo2T1,4.5323,3.1341,-0.3808,0.3191,0.0533,0.0000,1.0196,4.3887 
Zhen-data/SeperateWiimote/ZhenTrackT1,5.4780,2.7672,-0.6894,0.3614,0.0667,0.0267,0.8939,4.3854 
Zhen-data/SeperateWiimote/ZhenRelNo4T2,4.3765,3.8689,-0.1157,0.2585,0.0800,0.0267,0.9925,4.2853 
Zhen-data/SeperateWiimote/ZhenRelNo4T1,4.4615,4.3416,-0.0255,0.2303,0.0533,0.0133,0.9703,4.3216 
Zhen-data/SeperateWiimote/ZhenRelNo3T2,4.8538,3.3588,-0.3618,0.2977,0.1067,0.0267,0.9555,4.4234 
Zhen-data/SeperateWiimote/ZhenRelNo5T3,1.9761,2.2189,0.2201,0.4507,0.0800,0.0400,2.1617,4.3045 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20OffT2,4.4266,3.0017,-0.4051,0.3331,0.0667,0.0133,1.0421,4.3462 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20NewT1,4.4362,2.6933,-0.5674,0.3713,0.2267,0.0000,1.0752,4.4216 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20T2,4.0741,2.6315,-0.5022,0.3800,0.1600,0.0533,1.1130,4.2494 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20SqrtT1,4.8115,3.8324,-0.2065,0.2609,0.1467,0.0133,0.9362,4.3827 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20OffT1,4.5127,2.4105,-0.7762,0.4149,0.1600,0.0267,1.0515,4.4072 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20T1,4.1623,1.9359,-1.0778,0.5166,0.1733,0.0133,1.2317,4.4702 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20SqrtOffT1,4.7162,2.8987,-0.5191,0.3450,0.1200,0.0267,1.0021,4.4076 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20SqrtOffT2,4.4901,2.8764,-0.4590,0.3477,0.1600,0.0400,1.0001,4.2013 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20SqrtT2,4.8212,3.0440,-0.4777,0.3285,0.0533,0.0133,0.9519,4.3521 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20NewT2,4.2702,2.8800,-0.4273,0.3472,0.0800,0.0000,1.0402,4.2310 
Zhen-data/sensitivity-test/x150y200,3.9123,2.5674,-0.5573,0.3895,0.1333,0.0400,1.2296,4.5836 
Zhen-data/sensitivity-test/x350y150,3.6399,2.3601,-0.5830,0.4237,0.0400,0.0000,1.2891,4.4196 
Zhen-data/sensitivity-test/x300y150,4.0424,2.1699,-0.8551,0.4609,0.0933,0.0133,1.2405,4.5320 
Zhen-data/sensitivity-test/x350y250,4.2370,2.9922,-0.3919,0.3342,0.0667,0.0000,1.0812,4.4070 
Zhen-data/sensitivity-test/x300y200,4.0194,2.8146,-0.4235,0.3553,0.0800,0.0267,1.1695,4.4858 
