Filename, TP, IP, Lin1, Lin2, ErrorRate, outlierRate, meanMovetime, meanIDe
Zhen-data/Trackpad,4.6961,5.1240,0.1310,0.1952,0.0533,0.0000,0.9275,4.4257 
Zhen-data/SeperateWiimote/ZhenRelNo1T2,4.6437,2.1186,-0.8230,0.4720,0.0800,0.0133,0.8856,4.2128 
Zhen-data/SeperateWiimote/ZhenRelNo1T1,2.8230,2.8315,-0.3299,0.3532,0.0800,0.0267,1.4557,4.2204 
Zhen-data/SeperateWiimote/ZhenRelNo3T1,4.9580,4.0738,-0.2161,0.2455,0.0533,0.0000,0.8670,4.3642 
Zhen-data/SeperateWiimote/ZhenAbsNo1T1,4.5114,2.8881,-0.3919,0.3462,0.1333,0.0267,0.9652,4.3588 
Zhen-data/SeperateWiimote/ZhenRelNo2T2,5.0828,3.8298,-0.2146,0.2611,0.0400,0.0133,0.8573,4.4217 
Zhen-data/SeperateWiimote/ZhenAbsNo1T2,4.9787,3.0510,-0.2988,0.3278,0.1200,0.0267,0.8569,4.3619 
Zhen-data/SeperateWiimote/ZhenRelNo2T1,4.9962,3.1341,-0.3808,0.3191,0.0533,0.0000,0.8585,4.3887 
Zhen-data/SeperateWiimote/ZhenRelNo3T2,4.4649,3.3588,-0.3618,0.2977,0.1067,0.0267,0.9822,4.4234 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20OffT2,4.0390,3.0017,-0.4051,0.3331,0.0667,0.0133,1.0633,4.3462 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20NewT1,3.3481,2.6933,-0.5674,0.3713,0.2267,0.0000,1.3075,4.4216 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20T2,2.9150,2.6315,-0.5022,0.3800,0.1600,0.0533,1.4251,4.2494 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20SqrtT1,3.8577,3.8324,-0.2065,0.2609,0.1467,0.0133,1.1201,4.3827 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20OffT1,3.4478,2.4105,-0.7762,0.4149,0.1600,0.0267,1.2787,4.4072 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20T1,4.5946,1.9359,-1.0778,0.5166,0.1733,0.0133,0.9977,4.4702 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20SqrtOffT1,5.3985,2.8987,-0.5191,0.3450,0.1200,0.0267,0.8160,4.4076 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20SqrtOffT2,4.2013,2.8764,-0.4590,0.3477,0.1600,0.0400,0.9890,4.2013 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20SqrtT2,5.1671,3.0440,-0.4777,0.3285,0.0533,0.0133,0.8472,4.3521 
Zhen-data/AdjustBufferNewMethod/ZhenA85B20NewT2,3.3241,2.8800,-0.4273,0.3472,0.0800,0.0000,1.2631,4.2310 
Zhen-data/sensitivity-test/x150y200,4.2685,2.5674,-0.5573,0.3895,0.1333,0.0400,1.0745,4.5836 
Zhen-data/sensitivity-test/x350y150,2.8357,2.3601,-0.5830,0.4237,0.0400,0.0000,1.5433,4.4196 
Zhen-data/sensitivity-test/x300y150,5.1399,2.1699,-0.8551,0.4609,0.0933,0.0133,0.8707,4.5320 
Zhen-data/sensitivity-test/x350y250,5.1517,2.9922,-0.3919,0.3342,0.0667,0.0000,0.8406,4.4070 
Zhen-data/sensitivity-test/x300y200,3.0482,2.8146,-0.4235,0.3553,0.0800,0.0267,1.4435,4.4858 
Zhen-data/sensitivity-test/x200y150,2.7757,1.9620,-0.9075,0.5097,0.1333,0.0267,1.5843,4.3719 
Zhen-data/sensitivity-test/x200y300,3.7234,2.3782,-0.5327,0.4205,0.0933,0.0000,1.1543,4.3423 
Zhen-data/sensitivity-test/x300y250,4.2640,2.9355,-0.3675,0.3407,0.0800,0.0400,1.0568,4.5208 
Zhen-data/sensitivity-test/x250y150,3.5830,2.6908,-0.3819,0.3716,0.1067,0.0133,1.2304,4.4763 
Zhen-data/sensitivity-test/x350y200,4.4137,3.2951,-0.1991,0.3035,0.0533,0.0133,0.9504,4.2928 
Zhen-data/sensitivity-test/x150y250,3.8720,2.5122,-0.4862,0.3981,0.1600,0.0267,1.1368,4.4399 
Zhen-data/sensitivity-test/x250y250,3.9596,2.2593,-0.6086,0.4426,0.1600,0.0267,1.0665,4.2465 
Zhen-data/sensitivity-test/x150y150,4.4394,2.8854,-0.2551,0.3466,0.1333,0.0400,0.9411,4.3028 
Zhen-data/sensitivity-test/x200y250,2.6237,1.7846,-1.1195,0.5604,0.0800,0.0000,1.7005,4.4376 
Zhen-data/sensitivity-test/x250y200,4.7014,3.0245,-0.2508,0.3306,0.0933,0.0133,0.9083,4.3831 
Zhen-data/sensitivity-test/x200y200,3.4374,2.6569,-0.3468,0.3764,0.0800,0.0000,1.2422,4.3118 
Zhen-data/Fatigue-test/No3,3.0688,-0.3246,20.4896,-3.0804,0.0533,0.0000,2.0049,6.0880 
Zhen-data/Fatigue-test/No6,6.8476,5.8534,-0.1378,0.1708,0.0533,0.0133,0.4815,3.2973 
Zhen-data/Fatigue-test/No9,8.3620,4.5554,-0.4228,0.2195,0.1333,0.0133,0.6708,5.5848 
Zhen-data/Fatigue-test/No7,10.3984,5.8359,-0.1963,0.1714,0.0533,0.0133,0.4220,4.4773 
Zhen-data/Fatigue-test/No8,8.2570,7.6882,-0.0354,0.1301,0.0800,0.0133,0.4270,3.5369 
Zhen-data/Fatigue-test/No1,6.6962,6.0876,-0.1286,0.1643,0.0800,0.0133,0.7510,5.0863 
Zhen-data/Fatigue-test/No2,8.7706,10.5082,0.0813,0.0952,0.0133,0.0000,0.3778,3.3077 
Zhen-data/Fatigue-test/No5,6.0148,3.5078,-0.7043,0.2851,0.0400,0.0000,0.7921,4.7506 
Zhen-data/Fatigue-test/No10,6.3953,5.3511,-0.1869,0.1869,0.0800,0.0000,0.7818,5.0762 
Zhen-data/Fatigue-test/No4,7.1737,6.5008,-0.0852,0.1538,0.0933,0.0000,0.4326,3.1194 
