Filename, TP, IP, Lin1, Lin2, ErrorRate, outlierRate, meanMovetime, meanIDe, participantID, device, trial#
divya-data/Mouse/divya723,4.8556,2.4118,-1.0290,0.4146,0.1200,0.0133,1.1680,5.2878,divya,Mouse,3 
divya-data/Mouse/divya722,5.1893,3.0298,-0.7933,0.3301,0.0400,0.0000,1.1296,5.8260,divya,Mouse,2 
divya-data/Mouse/divya724,6.0273,3.2739,-0.6670,0.3054,0.1467,0.0133,0.8950,5.1139,divya,Mouse,4 
divya-data/Mouse/divya721,5.3571,4.0210,-0.2715,0.2487,0.1200,0.0000,0.8736,4.5958,divya,Mouse,1 
divya-data/FR/divya732,3.4046,3.4766,0.0856,0.2876,0.2000,0.0267,1.8291,5.8120,divya,Fingers relative,2 
divya-data/FR/divya731,2.8332,1.4584,-1.6500,0.6857,0.1600,0.0533,1.9835,5.2640,divya,Fingers relative,1 
divya-data/FR/divya734,2.6530,5.0170,0.9867,0.1993,0.0933,0.0267,2.0976,5.5771,divya,Fingers relative,4 
divya-data/FR/divya733,3.4205,2.2581,-0.6855,0.4429,0.0400,0.0000,1.4478,4.8159,divya,Fingers relative,3 
divya-data/Trackpad/divya741,4.7540,11.4676,0.7306,0.0872,0.0133,0.0000,1.1891,5.1698,divya,Trackpad,1 
divya-data/Trackpad/Divya742,5.5825,3.4359,-0.6150,0.2910,0.0533,0.0000,1.0077,5.5678,divya,Trackpad,2 
divya-data/Trackpad/divya743,4.4795,1.6702,-1.8307,0.5987,0.1333,0.0000,1.3680,5.3436,divya,Trackpad,3 
divya-data/Trackpad/divya744,3.2584,3.6215,0.1437,0.2761,0.0267,0.0000,1.5039,4.9260,divya,Trackpad,4 
divya-data/FA/divya713,3.4124,1.9452,-1.0743,0.5141,0.1333,0.0133,1.5512,5.0644,divya,Fingers absolute,3 
divya-data/FA/divya714,3.0860,2.3129,-0.5394,0.4324,0.1200,0.0267,1.7620,5.3301,divya,Fingers absolute,4 
divya-data/FA/divya712,2.8401,1.7708,-1.1223,0.5647,0.1867,0.0267,1.9460,5.4112,divya,Fingers absolute,2 
P33-data/Mouse/P33M3,5.5367,-7.3428,1.5522,-0.1362,0.0667,0.0000,0.9654,4.3983,P33,Mouse,3 
P33-data/Mouse/P33M1,6.9446,2.4679,-1.4725,0.4052,0.1200,0.0133,0.8723,5.7953,P33,Mouse,1 
P33-data/Mouse/P33M2,6.4387,3.1289,-0.7491,0.3196,0.0800,0.0133,0.7805,4.7788,P33,Mouse,2 
P33-data/FR/P33FR1,5.0071,-8.8412,1.6402,-0.1131,0.1600,0.0133,1.0605,5.0216,P33,Fingers relative,1 
P33-data/FR/P33FR11,2.5697,0.8256,-4.6368,1.2112,0.2933,0.0133,2.5525,5.9194,P33,Fingers relative,1 
P33-data/FR/P33FR31,2.6697,1.9874,-0.6345,0.5032,0.3467,0.0267,1.9856,5.2100,P33,Fingers relative,1 
P33-data/FR/P33FR3,3.7541,2.1188,-0.9379,0.4720,0.1067,0.0533,1.2935,4.7278,P33,Fingers relative,3 
P33-data/FR/P33FR21,3.2117,3.8399,0.2912,0.2604,0.2133,0.0533,1.5393,4.8099,P33,Fingers relative,1 
P33-data/FR/P33FR2,2.5181,0.3866,-10.8107,2.5865,0.3200,0.0133,2.5904,5.1701,P33,Fingers relative,2 
P33-data/Trackpad/P33T1,3.6457,2.1732,-0.9874,0.4602,0.1600,0.0267,1.6291,5.6113,P33,Trackpad,1 
P33-data/Trackpad/P33T3,3.7112,3.5085,-0.0669,0.2850,0.0800,0.0267,1.1884,4.4069,P33,Trackpad,3 
P33-data/Trackpad/P33T2,4.2954,3.5578,-0.2876,0.2811,0.0400,0.0133,1.4157,6.0593,P33,Trackpad,2 
P33-data/FA/P33FA3,3.4441,3.5328,-0.0088,0.2831,0.2533,0.0133,1.5337,5.2023,P33,Fingers absolute,3 
P33-data/FA/P33FA11,3.2154,1.9458,-0.8648,0.5139,0.5200,0.0000,1.3751,4.3181,P33,Fingers absolute,1 
P33-data/FA/P33FA31,3.4156,2.8231,-0.3127,0.3542,0.5333,0.0000,1.5290,5.1056,P33,Fingers absolute,1 
P33-data/FA/P33FA2,3.2690,1.8224,-1.2326,0.5487,0.4800,0.0133,1.7921,5.4094,P33,Fingers absolute,2 
P33-data/FA/P33FA1,2.8499,1.5195,-1.4225,0.6581,0.4533,0.0267,1.7064,4.7400,P33,Fingers absolute,1 
P33-data/FA/P33FA21,3.1598,2.6423,-0.2692,0.3785,0.5867,0.0133,1.3821,4.3439,P33,Fingers absolute,1 
P31-data/Mouse/P31M2,4.8493,-4.4848,2.0372,-0.2230,0.3467,0.0133,1.2101,4.7186,P31,Mouse,2 
P31-data/Mouse/P31M1,6.5544,6.5571,0.0009,0.1525,0.2000,0.0133,0.8212,5.3829,P31,Mouse,1 
P31-data/Mouse/P31M3,8.0128,7.7388,-0.0204,0.1292,0.0533,0.0133,0.5983,4.7900,P31,Mouse,3 
P31-data/FR/P31FR1,6.1554,14.6611,0.5100,0.0682,0.1600,0.0133,0.8748,4.9662,P31,Fingers relative,1 
P31-data/FR/P31FR2,2.8838,1.1686,-2.6844,0.8557,0.2933,0.0400,1.9363,5.4043,P31,Fingers relative,2 
P31-data/FR/P31FR3,3.4200,2.5570,-0.4847,0.3911,0.2000,0.0533,1.5958,5.3249,P31,Fingers relative,3 
P31-data/Trackpad/P31T2,4.0177,3.0634,-0.3538,0.3264,0.1067,0.0400,1.2235,4.8320,P31,Trackpad,2 
P31-data/Trackpad/P31T1,3.8816,3.5511,-0.1342,0.2816,0.2267,0.0000,1.4718,5.7069,P31,Trackpad,1 
P31-data/Trackpad/P31T3,3.6009,4.7008,0.2936,0.2127,0.0533,0.0267,1.2640,4.5488,P31,Trackpad,3 
P31-data/FA/P31FA1,3.7445,4.8168,0.2644,0.2076,0.2533,0.0133,1.2742,4.7441,P31,Fingers absolute,1 
P31-data/FA/P31FA2,3.4140,5.9518,0.8279,0.1680,0.7467,0.0000,1.9267,6.6938,P31,Fingers absolute,2 
P31-data/FA/P31FA3,3.4703,4.4883,0.3077,0.2228,0.3333,0.0400,1.3430,4.5310,P31,Fingers absolute,3 
